mean,std dev,reps,size a,size b,thr
0.007967, 0.000649, 5, 10000, 10000, 1
0.003563, 0.000164, 5, 10000, 10000, 2
0.002968, 0.000454, 5, 10000, 10000, 3
0.002255, 0.000318, 5, 10000, 10000, 4
0.001587, 0.000063, 5, 10000, 10000, 5
0.001699, 0.000062, 5, 10000, 10000, 6
0.001616, 0.000032, 5, 10000, 10000, 7
0.001543, 0.000051, 5, 10000, 10000, 8
0.001521, 0.000024, 5, 10000, 10000, 9
0.001516, 0.000011, 5, 10000, 10000, 10
0.001495, 0.000006, 5, 10000, 10000, 11
0.001849, 0.000033, 5, 10000, 10000, 12
0.065396, 0.001517, 5, 100000, 100000, 1
0.032932, 0.000444, 5, 100000, 100000, 2
0.023701, 0.001465, 5, 100000, 100000, 3
0.020713, 0.001707, 5, 100000, 100000, 4
0.018828, 0.000727, 5, 100000, 100000, 5
0.016946, 0.001065, 5, 100000, 100000, 6
0.015358, 0.000524, 5, 100000, 100000, 7
0.014218, 0.000752, 5, 100000, 100000, 8
0.012478, 0.000424, 5, 100000, 100000, 9
0.012035, 0.000394, 5, 100000, 100000, 10
0.012216, 0.000609, 5, 100000, 100000, 11
0.012534, 0.000465, 5, 100000, 100000, 12
0.811925, 0.009343, 5, 1000000, 1000000, 1
0.404800, 0.002732, 5, 1000000, 1000000, 2
0.272825, 0.003763, 5, 1000000, 1000000, 3
0.216169, 0.007756, 5, 1000000, 1000000, 4
0.170914, 0.007497, 5, 1000000, 1000000, 5
0.171502, 0.007484, 5, 1000000, 1000000, 6
0.155422, 0.003366, 5, 1000000, 1000000, 7
0.150240, 0.004733, 5, 1000000, 1000000, 8
0.160919, 0.011539, 5, 1000000, 1000000, 9
0.177150, 0.008327, 5, 1000000, 1000000, 10
0.174345, 0.031062, 5, 1000000, 1000000, 11
0.183176, 0.009814, 5, 1000000, 1000000, 12
25.619466, 0.596856, 5, 10000000, 10000000, 1
12.850868, 0.218285, 5, 10000000, 10000000, 2
9.301480, 0.037451, 5, 10000000, 10000000, 3
6.133300, 0.135554, 5, 10000000, 10000000, 4
4.960927, 0.116467, 5, 10000000, 10000000, 5
4.872151, 0.202408, 5, 10000000, 10000000, 6
4.776860, 0.463280, 5, 10000000, 10000000, 7
4.101598, 0.036399, 5, 10000000, 10000000, 8
3.774659, 0.357110, 5, 10000000, 10000000, 9
3.244840, 0.121489, 5, 10000000, 10000000, 10
5.100894, 0.554104, 5, 10000000, 10000000, 11
6.085383, 0.553480, 5, 10000000, 10000000, 12
246.711891,32.25633,10,100000000,100000000,1
125.885309,12.602065,10,100000000,100000000,2
95.197011,3.939198,10,100000000,100000000,3
77.414114,12.590101,10,100000000,100000000,4
67.254503,15.721439,10,100000000,100000000,5
67.410448,1.109223,10,100000000,100000000,6
65.28711,1.066102,10,100000000,100000000,7
55.932918,13.755447,10,100000000,100000000,8
59.703505,1.484025,10,100000000,100000000,9
45.861021,7.888693,10,100000000,100000000,10
63.490706,2.38587,10,100000000,100000000,11
61.578478,1.370341,10,100000000,100000000,12
