Media,desviacion estandar,reps,size a,size b,thr
0.007967, 0.000649, 5, 10000, 10000, 1
0.003563, 0.000164, 5, 10000, 10000, 2
0.002968, 0.000454, 5, 10000, 10000, 3
0.002255, 0.000318, 5, 10000, 10000, 4
0.001587, 0.000063, 5, 10000, 10000, 5
0.001699, 0.000062, 5, 10000, 10000, 6
0.001616, 0.000032, 5, 10000, 10000, 7
0.001543, 0.000051, 5, 10000, 10000, 8
0.001521, 0.000024, 5, 10000, 10000, 9
0.001516, 0.000011, 5, 10000, 10000, 10
0.001495, 0.000006, 5, 10000, 10000, 11
0.001849, 0.000033, 5, 10000, 10000, 12
0.065396, 0.001517, 5, 100000, 100000, 1
0.032932, 0.000444, 5, 100000, 100000, 2
0.023701, 0.001465, 5, 100000, 100000, 3
0.020713, 0.001707, 5, 100000, 100000, 4
0.018828, 0.000727, 5, 100000, 100000, 5
0.016946, 0.001065, 5, 100000, 100000, 6
0.015358, 0.000524, 5, 100000, 100000, 7
0.014218, 0.000752, 5, 100000, 100000, 8
0.012478, 0.000424, 5, 100000, 100000, 9
0.012035, 0.000394, 5, 100000, 100000, 10
0.012216, 0.000609, 5, 100000, 100000, 11
0.012534, 0.000465, 5, 100000, 100000, 12
0.811925, 0.009343, 5, 1000000, 1000000, 1
0.404800, 0.002732, 5, 1000000, 1000000, 2
0.272825, 0.003763, 5, 1000000, 1000000, 3
0.216169, 0.007756, 5, 1000000, 1000000, 4
0.170914, 0.007497, 5, 1000000, 1000000, 5
0.171502, 0.007484, 5, 1000000, 1000000, 6
0.155422, 0.003366, 5, 1000000, 1000000, 7
0.150240, 0.004733, 5, 1000000, 1000000, 8
0.160919, 0.011539, 5, 1000000, 1000000, 9
0.177150, 0.008327, 5, 1000000, 1000000, 10
0.174345, 0.031062, 5, 1000000, 1000000, 11
0.183176, 0.009814, 5, 1000000, 1000000, 12
25.619466, 0.596856, 5, 10000000, 10000000, 1
12.850868, 0.218285, 5, 10000000, 10000000, 2
9.301480, 0.037451, 5, 10000000, 10000000, 3
6.133300, 0.135554, 5, 10000000, 10000000, 4
4.960927, 0.116467, 5, 10000000, 10000000, 5
4.872151, 0.202408, 5, 10000000, 10000000, 6
4.776860, 0.463280, 5, 10000000, 10000000, 7
4.101598, 0.036399, 5, 10000000, 10000000, 8
3.774659, 0.357110, 5, 10000000, 10000000, 9
3.244840, 0.121489, 5, 10000000, 10000000, 10
5.100894, 0.554104, 5, 10000000, 10000000, 11
6.085383, 0.553480, 5, 10000000, 10000000, 12
290.478856, 2.248825, 5, 100000000, 100000000, 1
141.448437, 2.253235, 5, 100000000, 100000000, 2
111.026475, 5.736089, 5, 100000000, 100000000, 3
69.967441, 1.520622, 5, 100000000, 100000000, 4
56.576794, 1.061701, 5, 100000000, 100000000, 5
61.150535, 3.324646, 5, 100000000, 100000000, 6
82.575773, 4.296267, 5, 100000000, 100000000, 7
52.847964, 4.613168, 5, 100000000, 100000000, 8
89.696102, 5.872813, 5, 100000000, 100000000, 9
54.978893, 7.685959, 5, 100000000, 100000000, 10
92.042248, 6.071896, 5, 100000000, 100000000, 11
81.699429, 3.890683, 5, 100000000, 100000000, 12
